beneficiario,direccion,monto,moneda,concepto
Ana Restrepo,0xC4d2d867961b2791081Bd0B4fAc4e3bEC57a951b,250.00,USDT,nomina agosto
Bruno Salas,0xB51803A4F24B2776456fEe6c869c95c811247318,300.00,USDT,nomina agosto
Carla Nieto,0x257ff557AEc482560B2938264d5593a31A08104A,180.50,USDT,nomina agosto
Diego Ospina,0x17d5D5fC28ee6240e1129CCBf386458071b056F9,900.00,USDT,bono extraordinario
Elena Vargas,0xa9aBF679D7304cA82C10Bc13dB24447191FD45A5,220.00,USDT,nomina agosto
Fabio Cano,0xC4d2d867961b2791081Bd0B4fAc4e3bEC57a951b,150.00,USDT,nomina agosto
Gina Pena,0xB51803A4F24B2776456fEe6c869c95c811247318,,USDT,nomina agosto
Hugo Marin,0x000000000000000000000000000000000000dEaD,400.00,USDT,proveedor externo
Irene Duque,0x257ff557AEc482560B2938264d5593a31A08104A,"120,50",USDT,nomina agosto
Jorge Lema,0x17d5D5fC28ee,95.00,USDT,nomina agosto
Karla Rios,0xa9aBF679D7304cA82C10Bc13dB24447191FD45A5,90.00,COP,nomina agosto
Luis Ardila,0xC4d2d867961b2791081Bd0B4fAc4e3bEC57a951b,75.00,USDT,nomina agosto
